"Year_Construction","Surface","Bathrooms","Property_Type","Bedrooms","Sale_Price","Autonomous_Community","Property"
1999,69,"1","Popular","2",175000,"Andalucía","Piso"
1968,108,"1","Media","4",99990,"Andalucía","Piso"
1965,62,"1","Popular","3",73500,"Andalucía","Piso"
1977,86,"1","Popular","3",85000,"Andalucía","Piso"
1966,64,"1","Media","2",64900,"Andalucía","Piso"
1974,109,"1","Popular","3",159990,"Andalucía","Piso"
1975,172,"2","Popular","4",159500,"Andalucía","Piso"
1969,88,"1","Popular","3",99990,"Andalucía","Piso"
1979,113,"2","Media","4",149900,"Andalucía","Piso"
2001,60,"1","Popular","2",142000,"Andalucía","Piso"
2005,100,"1","Popular","4",100000,"Andalucía","Piso"
1960,120,"2","Señorial","4",369000,"Andalucía","Piso"
1991,82,"1","Popular","3",169900,"Andalucía","Piso"
1966,54,"1","Media","3",56000,"Andalucía","Piso"
1970,71,"1","Media","3",149900,"Andalucía","Piso"
1978,85,"1","Popular","3",212000,"Andalucía","Piso"
1953,48,"1","Media","3",139000,"Andalucía","Piso"
1968,68,"1","Media","3",220000,"Andalucía","Piso"
1958,76,"1","Media","2",169000,"Andalucía","Piso"
1939,50,"1","Media","2",148500,"Andalucía","Piso"
1976,108,"1","Media","4",267000,"Andalucía","Piso"
1970,90,"1","Media","3",320000,"Andalucía","Piso"
1979,122,"1","Popular","4",320000,"Andalucía","Piso"
1969,114,"1","Media","4",460000,"Andalucía","Piso"
1959,75,"2","Popular","3",365000,"Andalucía","Piso"
1964,67,"1","Popular","2",94900,"Andalucía","Piso"
1963,76,"1","Popular","3",99900,"Andalucía","Piso"
1970,68,"1","Media","3",89900,"Andalucía","Piso"
1984,101,"1","Popular","4",239900,"Andalucía","Piso"
1970,75,"2","Popular","3",159900,"Andalucía","Piso"
1995,92,"1","Popular","3",134900,"Andalucía","Piso"
1963,46,"1","Media","3",61000,"Andalucía","Piso"
1980,83,"1","Media","3",42500,"Andalucía","Piso"
1972,80,"1","Media","3",129900,"Andalucía","Piso"
1986,105,"1","Señorial","3",224900,"Andalucía","Piso"
1948,118,"1","Popular","5",204900,"Andalucía","Piso"
1970,85,"1","Popular","3",135000,"Andalucía","Piso"
1961,60,"1","Media","2",83900,"Andalucía","Piso"
1968,48,"1","Popular","2",76900,"Andalucía","Piso"
1980,110,"2","Media","4",108000,"Andalucía","Piso"
1969,79,"1","Popular","3",155900,"Andalucía","Piso"
1970,73,"1","Popular","3",145000,"Andalucía","Piso"
1966,76,"1","Popular","3",119900,"Andalucía","Piso"
1969,76,"1","Popular","2",138000,"Andalucía","Piso"
1990,116,"2","Señorial","4",172900,"Andalucía","Piso"
2006,164,"2","Popular","3",249900,"Andalucía","Piso"
1974,100,"1","Media","3",112000,"Andalucía","Piso"
1991,70,"1","Señorial","2",210000,"Andalucía","Piso"
1967,116,"2","Popular","4",259900,"Andalucía","Piso"
1952,76,"1","Media","2",160000,"Andalucía","Piso"
1969,65,"1","Media","3",122900,"Andalucía","Piso"
1975,113,"1","Media","3",149900,"Andalucía","Piso"
2002,124,"2","Media","4",198900,"Andalucía","Piso"
1920,86,"1","Popular","3",125000,"Andalucía","Piso"
1961,55,"1","Media","3",69900,"Andalucía","Piso"
1989,114,"2","Popular","4",179900,"Andalucía","Piso"
1974,102,"2","Popular","4",175000,"Andalucía","Piso"
1980,90,"2","Popular","4",89999,"Andalucía","Piso"
2001,128,"2","Popular","3",145000,"Andalucía","Piso"
1970,82,"2","Media","3",99900,"Andalucía","Piso"
1975,90,"1","Popular","3",90000,"Andalucía","Piso"
1976,101,"2","Popular","4",195000,"Andalucía","Piso"
1977,83,"1","Media","3",40000,"Andalucía","Piso"
1966,61,"1","Media","3",75000,"Andalucía","Piso"
1964,73,"1","Media","3",110000,"Andalucía","Piso"
1975,76,"1","Popular","3",79900,"Andalucía","Piso"
1968,58,"1","Popular","3",80000,"Andalucía","Piso"
1974,104,"2","Popular","4",129900,"Andalucía","Piso"
1978,106,"2","Popular","4",135000,"Andalucía","Piso"
2001,65,"1","Media","2",126000,"Andalucía","Piso"
1972,54,"1","Media","3",67900,"Andalucía","Piso"
1963,70,"1","Popular","3",95000,"Andalucía","Piso"
1975,79,"1","Popular","3",109900,"Andalucía","Piso"
1970,80,"1","Popular","3",106000,"Andalucía","Piso"
1977,90,"1","De época","4",85000,"Andalucía","Piso"
1965,64,"1","Popular","3",39990,"Andalucía","Piso"
1950,116,"2","Señorial","3",179000,"Andalucía","Piso"
1974,86,"1","Popular","3",139000,"Andalucía","Piso"
1960,54,"1","Media","3",45000,"Andalucía","Piso"
1988,85,"1","Media","2",78000,"Andalucía","Piso"
1996,161,"2","Media","3",199900,"Andalucía","Piso"
1999,59,"1","Media","1",95500,"Andalucía","Piso"
1981,168,"1","Popular","4",205000,"Andalucía","Piso"
1980,220,"1","Popular","3",297000,"Andalucía","Piso"
1967,80,"1","Popular","3",169900,"Andalucía","Piso"
2003,50,"1","Popular","1",169900,"Andalucía","Piso"
1962,60,"1","Media","3",150000,"Andalucía","Piso"
1969,74,"1","Media","3",220000,"Andalucía","Piso"
1965,52,"1","Popular","2",166900,"Andalucía","Piso"
1971,74,"2","Señorial","2",229000,"Andalucía","Piso"
1996,113,"1","Media","2",275000,"Andalucía","Piso"
1992,71,"1","Media","2",190000,"Andalucía","Piso"
1978,100,"1","Media","3",273500,"Andalucía","Piso"
2001,117,"2","Media","3",265000,"Andalucía","Piso"
1976,93,"1","Popular","3",199900,"Andalucía","Piso"
1976,80,"1","Popular","3",179990,"Andalucía","Piso"
1954,55,"1","Popular","3",147500,"Andalucía","Piso"
1967,78,"1","Popular","3",249900,"Andalucía","Piso"
1964,75,"1","Popular","3",222000,"Andalucía","Piso"
1960,62,"1","Popular","3",135000,"Andalucía","Piso"
1966,99,"2","Señorial","4",239000,"Andalucía","Piso"
1981,93,"1","Popular","3",155000,"Andalucía","Piso"
1979,45,"1","Media","2",250000,"Andalucía","Piso"
1964,81,"1","Media","3",235000,"Andalucía","Piso"
1964,55,"1","Popular","2",79900,"Andalucía","Piso"
2007,78,"1","Popular","2",189000,"Andalucía","Piso"
1981,93,"2","Popular","3",240000,"Andalucía","Piso"
1958,56,"1","Media","3",68000,"Andalucía","Piso"
1973,67,"1","Popular","3",120000,"Andalucía","Piso"
1981,76,"1","Señorial","3",165000,"Andalucía","Piso"
1981,76,"1","Media","3",145000,"Andalucía","Piso"
1976,102,"2","Media","4",144990,"Andalucía","Piso"
2007,148,"2","Media","3",180000,"Andalucía","Piso"
1948,83,"1","Popular","3",186000,"Andalucía","Piso"
1993,104,"2","Media","3",310000,"Aragón","Piso"
1953,63,"1","Media","2",129000,"Aragón","Piso"
1970,73,"1","Popular","2",158000,"Aragón","Piso"
1961,61,"1","Popular","3",97500,"Aragón","Piso"
1942,47,"1","Popular","2",59000,"Aragón","Piso"
1981,153,"2","Media","4",299000,"Aragón","Piso"
1984,96,"2","Popular","4",259000,"Aragón","Piso"
1940,70,"1","Media","3",75000,"Aragón","Piso"
1967,79,"1","Popular","3",138000,"Aragón","Piso"
1983,103,"2","Media","4",289000,"Aragón","Piso"
