Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
594789,1 baño,venta,g,122500,Popular,1975,114.00,"211,8 kWh/m&sup2; año",,2024-09-20 11:26:59,,Plus Ultra,,Almería,es,Andalucía,4 dorm.,
594509,1 baño,venta,g,105000,Popular,1969,88.00,"42,06 kW h/m&sup2; año",,2024-09-13 17:32:47,1,Calle Quinta Avenida,,Almería,es,Andalucía,3 dorm.,
599139,1 baño,venta,,97990,Popular,1960,111.00,,,2024-10-25 19:44:05,Baja,C. Cámaras,,Almería,es,Andalucía,3 dorm.,
599242,,venta,,59990,Media,1954,51.00,,,2024-10-25 19:26:17,,C. Zagal,,Almería,es,Andalucía,3 dorm.,
598061,1 baño,venta,,119000,Popular,1974,106.00,,,2024-10-18 16:40:37,2,Calle Marchales,,Almería,es,Andalucía,3 dorm.,
532627,2 baños,venta,,159500,Popular,1975,172.00,,,2024-10-16 09:53:10,,C. Maldonado Entrena,,Almería,es,Andalucía,4 dorm.,
595160,1 baño,venta,,79000,Popular,1974,107.00,,,2024-09-19 18:01:51,2 (planta media),Ctra. de Ronda,,Almería,es,Andalucía,,
596150,,venta,,72000,Media,1966,64.00,,,2024-09-30 20:27:39,,Calle Zafiro,,Almería,es,Andalucía,,
598331,1 baño,venta,e,139000,Popular,2012,70.00,"84,60 kWh/m&sup2; año",,2024-10-17 16:38:30,,C. Pintor Zabaleta,,Almería,es,Andalucía,3 dorm.,Los Molinos - El Puche - Torrecardenas
599671,1 baño,venta,e,89900,Popular,1968,108.00,"135,3 kW h/m&sup2; año",,2024-10-30 12:20:21,,Av. de Madrid,,Almería,es,Andalucía,3 dorm.,
598971,1 baño,venta,g,69900,Popular,1968,76.00,"167,5 kW h/m&sup2; año",,2024-10-23 17:36:03,Alta,Pl. del Niño Jesús,,Almería,es,Andalucía,4 dorm.,
598612,1 baño,venta,g,92000,Popular,1955,50.00,"281,5 kW h/m&sup2; año",,2024-10-21 12:35:43,Baja,Calle Jaúl,,Almería,es,Andalucía,2 dorm.,
599281,1 baño,venta,,169900,Popular,1999,100.00,,,2024-10-28 16:45:09,5,C. Eñe,,Almería,es,Andalucía,,Los Molinos - El Puche - Torrecardenas
598464,1 baño,venta,,119000,Popular,1992,115.00,,,2024-10-18 16:48:52,,C. Cantareros,,Almería,es,Andalucía,3 dorm.,Los Molinos - El Puche - Torrecardenas
592697,,venta,,91500,Media,1970,55.00,,,2024-10-22 18:16:07,5,C. Lope de Vega,,Almería,es,Andalucía,,Almería - Centro Histórico
597512,,venta,e,169000,Media,1958,76.00,"127,42 kWh/m&sup2; año",,2024-10-10 11:01:51,3 (planta media),C. Alfonso Aramburu,,Cádiz,es,Andalucía,2 dorm.,Puerta Tierra
598646,,venta,,148500,Media,1939,50.00,,,2024-10-21 18:27:49,4 (planta media),C. Tanguillo,,Cádiz,es,Andalucía,2 dorm.,Puerta Tierra
586352,,venta,,267000,Media,1976,108.00,,,2024-06-18 10:41:19,1 (planta baja),Pl. de los Porches,,Cádiz,es,Andalucía,4 dorm.,Puerta Tierra
598216,,venta,,169000,Media,1957,57.00,,,2024-10-17 18:28:41,3 (planta alta),Av. Lacave,,Cádiz,es,Andalucía,3 dorm.,Puerta Tierra
597551,,venta,,225000,Popular,1975,84.00,,,2024-10-10 18:40:19,5 (planta alta),C. San Mateo,,Cádiz,es,Andalucía,3 dorm.,Puerta Tierra
557956,1 baño,venta,e,168500,Media,1991,86.00,"101,17 kW h/m&sup2; año",Sí,2023-09-13 10:56:57,1,Calle Barbate,,Cádiz,es,Andalucía,3 dorm.,Puerta Tierra
592295,,venta,,360000,Media,1986,104.00,,,2024-08-28 18:22:08,4 (planta alta),C. Huerta del Obispo,,Cádiz,es,Andalucía,3 dorm.,Puerta Tierra
587724,,venta,,320000,Media,1970,90.00,,,2024-06-28 20:07:15,3 (planta media),Av. Ana de Viya,,Cádiz,es,Andalucía,3 dorm.,Puerta Tierra
592556,,venta,,320000,Popular,1979,122.00,,,2024-08-22 19:33:22,Planta baja,C/ Adelfa,,Cádiz,es,Andalucía,4 dorm.,Puerta Tierra
587499,,venta,g,119500,Popular,1957,58.00,"228,88 kW h/m&sup2; año",,2024-07-02 09:23:48,,C. Sor Cristina López García,,Cádiz,es,Andalucía,2 dorm.,Puerta Tierra
589548,,venta,,460000,Media,1969,114.00,,,2024-07-17 13:42:27,6 (planta alta),Pl. Escritor Ramón Solís,,Cádiz,es,Andalucía,4 dorm.,Puerta Tierra
556113,,venta,,480000,Popular,1978,113.00,,,2023-08-24 18:55:05,Baja,Calle Sociedad,,Cádiz,es,Andalucía,4 dorm.,Puerta Tierra
359446,2 baños,venta,,365000,Popular,1959,75.00,,Sí,2024-05-02 18:10:07,,Plaza de Madrid,,Cádiz,es,Andalucía,3 dorm.,Puerta Tierra
598965,,venta,e,92900,Popular,1970,78.00,"113,07 kWh/m&sup2; año",,2024-10-25 11:19:16,5 (planta alta),C/ de la Previsión,,Cordoba,es,Andalucía,3 dorm.,Ciudad Jardin - Machaquito
599257,1 baño,venta,,32000,Señorial,1960,47.00,,,2024-10-28 13:19:54,,C/ Loja,,Cordoba,es,Andalucía,2 dorm.,Sector Sur - Campo La Verdad
599009,1 baño,venta,,49900,Media,1960,64.00,,,2024-10-25 10:56:57,4,Calle Moriles,,Cordoba,es,Andalucía,2 dorm.,Sector Sur - Campo La Verdad
596250,1 baño,venta,,45000,Media,1980,83.00,,,2024-09-30 13:11:28,3 (planta alta),Libertador Andres de santacruz,,Cordoba,es,Andalucía,3 dorm.,Barriada Guadalquivir - Sector Sur
598876,2 baños,venta,,148000,Popular,1990,97.00,,,2024-10-23 17:28:47,,Avda. Cádiz,,Cordoba,es,Andalucía,4 dorm.,Sector Sur - Campo La Verdad
598288,1 baño,venta,e,135000,Señorial,1983,94.00,"151,76 kWh/m&sup2; año",Sí,2024-10-18 09:54:18,,Calle Vereda de la Alcaidía,,Cordoba,es,Andalucía,3 dorm.,Fatima
554691,2 baños,venta,,89000,Media,1992,90.00,,Sí,2023-08-02 11:04:26,,Pasaje mezquita,centralizada (Chimenea),Cordoba,es,Andalucía,3 dorm.,Barriada Guadalquivir - Sector Sur
591658,1 baño,venta,g,90000,Media,1970,84.00,"209,5 kW h/m&sup2; año",,2024-08-08 10:12:42,,Av. Virgen de Fátima,,Cordoba,es,Andalucía,3 dorm.,Fatima
599226,1 baño,venta,g,95000,Media,1973,94.00,"214,4 kW h/m&sup2; año",,2024-10-28 10:37:48,,Av. Virgen de Fátima,,Cordoba,es,Andalucía,3 dorm.,Fatima
599661,1 baño,venta,,79900,Media,1975,75.00,,,2024-10-30 10:43:45,,Cronista Maraver 26,,Cordoba,es,Andalucía,,Levante - Fidiana
592514,,venta,d,224900,Señorial,1986,105.00,"57,75 kWh/m&sup2; año",,2024-08-21 18:10:36,4 (planta media),Avenida de los Mozarabes,,Cordoba,es,Andalucía,3 dorm.,Ciudad Jardin - Machaquito
